AT,V,AP,RH,PE,AT-V,AT-AP,AT-RH,AT-PE,AP-RH,AP-PE
15.87,39.31,1009.95,66.78,460.59,0.40,0.02,0.24,0.03,15.12,2.19
14.57,37.86,1022.44,68.82,463.58,0.38,0.01,0.21,0.03,14.86,2.21
7.94,42.02,1006.22,90.97,480.53,0.19,0.01,0.09,0.02,11.06,2.09
20.92,57.76,1017.22,75.86,453.96,0.36,0.02,0.28,0.05,13.41,2.24
27.92,74.99,1005.47,75.13,431.76,0.37,0.03,0.37,0.06,13.38,2.33
26.52,71.64,1008.27,75.30,437.76,0.37,0.03,0.35,0.06,13.39,2.30
22.23,46.93,1013.09,58.02,448.27,0.47,0.02,0.38,0.05,17.46,2.26
10.40,45.01,1018.58,93.48,470.79,0.23,0.01,0.11,0.02,10.90,2.16
7.30,39.72,1020.85,77.83,485.10,0.18,0.01,0.09,0.02,13.12,2.10
31.01,69.04,1009.14,52.81,442.07,0.45,0.03,0.59,0.07,19.11,2.28
11.42,40.35,1011.55,82.71,478.70,0.28,0.01,0.14,0.02,12.23,2.11
17.89,44.78,1010.03,53.78,457.74,0.40,0.02,0.33,0.04,18.78,2.21
13.70,44.47,1027.51,70.77,468.79,0.31,0.01,0.19,0.03,14.52,2.19
11.52,40.75,1016.23,85.18,477.19,0.28,0.01,0.14,0.02,11.93,2.13
18.30,44.06,1017.95,63.24,456.32,0.42,0.02,0.29,0.04,16.10,2.23
24.80,61.02,1009.86,71.75,438.96,0.41,0.02,0.35,0.06,14.07,2.30
15.56,41.10,1003.55,76.92,464.42,0.38,0.02,0.20,0.03,13.05,2.16
21.95,50.66,1013.92,70.94,455.23,0.43,0.02,0.31,0.05,14.29,2.23
26.42,59.39,1013.95,66.03,438.54,0.44,0.03,0.40,0.06,15.36,2.31
17.48,46.21,1014.02,80.78,455.35,0.38,0.02,0.22,0.04,12.55,2.23
30.97,69.13,1009.78,58.92,435.60,0.45,0.03,0.53,0.07,17.14,2.32
13.41,49.83,1008.83,87.14,466.38,0.27,0.01,0.15,0.03,11.58,2.16
9.28,40.22,1009.23,88.43,480.73,0.23,0.01,0.10,0.02,11.41,2.10
25.02,59.44,1012.49,73.65,444.08,0.42,0.02,0.34,0.06,13.75,2.28
24.99,51.43,1006.95,79.63,441.45,0.49,0.02,0.31,0.06,12.65,2.28
34.18,67.90,1005.87,30.34,425.50,0.50,0.03,1.13,0.08,33.15,2.36
26.08,76.86,1003.30,79.49,436.85,0.34,0.03,0.33,0.06,12.62,2.30
31.03,69.59,1007.77,63.96,432.56,0.45,0.03,0.49,0.07,15.76,2.33
7.19,39.40,1011.45,90.65,483.04,0.18,0.01,0.08,0.01,11.16,2.09
6.87,39.85,1012.66,83.34,486.26,0.17,0.01,0.08,0.01,12.15,2.08
20.23,69.45,1013.00,89.79,445.82,0.29,0.02,0.23,0.05,11.28,2.27
15.85,49.69,1015.33,89.24,469.40,0.32,0.02,0.18,0.03,11.38,2.16
24.66,58.86,1013.86,56.39,444.42,0.42,0.02,0.44,0.06,17.98,2.28
31.40,70.32,1011.62,65.01,433.42,0.45,0.03,0.48,0.07,15.56,2.33
8.14,37.49,1009.04,80.33,480.66,0.22,0.01,0.10,0.02,12.56,2.10
33.37,79.05,1007.19,62.64,430.42,0.42,0.03,0.53,0.08,16.08,2.34
29.64,54.20,1013.00,39.56,438.12,0.55,0.03,0.75,0.07,25.61,2.31
24.58,71.94,1006.85,89.02,433.99,0.34,0.02,0.28,0.06,11.31,2.32
16.87,52.05,1012.70,71.63,460.31,0.32,0.02,0.24,0.04,14.14,2.20
23.34,73.50,1011.43,89.74,441.14,0.32,0.02,0.26,0.05,11.27,2.29
28.88,71.98,1005.37,74.24,428.61,0.40,0.03,0.39,0.07,13.54,2.35
14.76,43.79,1016.17,75.72,464.14,0.34,0.01,0.19,0.03,13.42,2.19
25.44,61.25,1012.57,87.65,441.77,0.42,0.03,0.29,0.06,11.55,2.29
30.76,59.57,1010.66,61.76,439.32,0.52,0.03,0.50,0.07,16.36,2.30
12.73,40.27,1005.68,68.77,475.61,0.32,0.01,0.19,0.03,14.62,2.11
18.87,67.71,1004.00,87.35,444.77,0.28,0.02,0.22,0.04,11.49,2.26
12.26,43.48,1016.41,72.95,467.83,0.28,0.01,0.17,0.03,13.93,2.17
15.34,71.14,1019.79,77.56,457.10,0.22,0.02,0.20,0.03,13.15,2.23
13.83,40.78,1024.85,73.08,458.85,0.34,0.01,0.19,0.03,14.02,2.23
23.32,69.13,1010.75,91.84,435.27,0.34,0.02,0.25,0.05,11.01,2.32
25.28,67.69,1009.05,68.54,445.34,0.37,0.03,0.37,0.06,14.72,2.27
28.17,72.43,1007.37,68.92,428.88,0.39,0.03,0.41,0.07,14.62,2.35
18.32,66.51,1015.18,81.50,459.89,0.28,0.02,0.22,0.04,12.46,2.21
27.30,65.12,1016.24,44.87,442.78,0.42,0.03,0.61,0.06,22.65,2.30
8.85,41.06,1020.99,86.05,486.40,0.22,0.01,0.10,0.02,11.87,2.10
12.39,40.75,1016.05,81.91,475.96,0.30,0.01,0.15,0.03,12.40,2.13
26.71,66.25,1008.11,79.28,435.41,0.40,0.03,0.34,0.06,12.72,2.32
17.34,44.78,1007.81,56.38,454.97,0.39,0.02,0.31,0.04,17.88,2.22
9.05,36.30,1027.44,74.85,479.43,0.25,0.01,0.12,0.02,13.73,2.14
23.33,72.99,1009.33,89.41,440.04,0.32,0.02,0.26,0.05,11.29,2.29
26.03,69.68,1011.61,60.75,449.54,0.37,0.03,0.43,0.06,16.65,2.25
17.76,42.42,1009.09,66.26,468.27,0.42,0.02,0.27,0.04,15.23,2.15
16.37,39.99,1007.05,80.61,464.69,0.41,0.02,0.20,0.04,12.49,2.17
23.56,51.86,1014.04,73.90,448.04,0.45,0.02,0.32,0.05,13.72,2.26
17.49,40.55,1001.73,73.15,462.37,0.43,0.02,0.24,0.04,13.69,2.17
10.62,39.64,1010.51,68.55,478.37,0.27,0.01,0.15,0.02,14.74,2.11
11.70,25.36,1008.65,92.11,470.88,0.46,0.01,0.13,0.02,10.95,2.14
22.10,58.33,1013.71,69.09,441.31,0.38,0.02,0.32,0.05,14.67,2.30
22.25,51.86,1013.08,83.64,451.04,0.43,0.02,0.27,0.05,12.11,2.25
5.21,41.31,1003.51,91.23,486.46,0.13,0.01,0.06,0.01,11.00,2.06
27.89,69.88,1007.99,85.62,430.75,0.40,0.03,0.33,0.06,11.77,2.34
26.81,61.47,1009.68,68.34,443.66,0.44,0.03,0.39,0.06,14.77,2.28
27.82,79.74,1008.37,69.46,436.48,0.35,0.03,0.40,0.06,14.52,2.31
14.04,40.20,1013.29,89.54,465.25,0.35,0.01,0.16,0.03,11.32,2.18
5.43,39.90,1007.50,86.27,487.84,0.14,0.01,0.06,0.01,11.68,2.07
11.51,41.06,1021.30,78.11,476.91,0.28,0.01,0.15,0.02,13.08,2.14
31.11,71.80,1010.81,56.08,437.20,0.43,0.03,0.55,0.07,18.02,2.31
19.05,62.96,1020.48,83.04,454.26,0.30,0.02,0.23,0.04,12.29,2.25
21.23,61.50,1008.98,82.14,450.92,0.35,0.02,0.26,0.05,12.28,2.24
26.70,70.32,1011.04,86.41,438.46,0.38,0.03,0.31,0.06,11.70,2.31
15.49,40.89,1007.16,82.16,465.37,0.38,0.02,0.19,0.03,12.26,2.16
24.80,65.48,1018.56,62.05,442.02,0.38,0.02,0.40,0.06,16.42,2.30
17.07,44.90,1020.74,70.18,460.19,0.38,0.02,0.24,0.04,14.54,2.22
11.71,41.44,1015.37,79.95,474.22,0.28,0.01,0.15,0.02,12.70,2.14
17.10,48.98,1016.48,85.63,454.43,0.35,0.02,0.20,0.04,11.87,2.24
14.02,44.47,1028.02,68.97,465.93,0.32,0.01,0.20,0.03,14.91,2.21
3.96,35.47,1016.79,83.81,489.68,0.11,0.00,0.05,0.01,12.13,2.08
23.06,56.85,1012.50,64.03,440.03,0.41,0.02,0.36,0.05,15.81,2.30
10.97,40.60,1015.00,87.59,478.69,0.27,0.01,0.13,0.02,11.59,2.12
29.70,67.17,1007.31,66.56,438.04,0.44,0.03,0.45,0.07,15.13,2.30
25.60,73.67,1005.78,84.82,433.25,0.35,0.03,0.30,0.06,11.86,2.32
21.82,65.27,1013.86,72.81,447.43,0.33,0.02,0.30,0.05,13.92,2.27
20.40,54.90,1016.68,64.26,452.56,0.37,0.02,0.32,0.05,15.82,2.25
28.42,73.50,1011.23,72.79,435.59,0.39,0.03,0.39,0.07,13.89,2.32
26.17,66.54,1002.23,75.60,433.81,0.39,0.03,0.35,0.06,13.26,2.31
26.39,49.16,1005.68,56.18,442.87,0.54,0.03,0.47,0.06,17.90,2.27
3.92,41.31,999.22,95.26,487.35,0.09,0.00,0.04,0.01,10.49,2.05
30.80,70.94,1007.06,63.09,432.44,0.43,0.03,0.49,0.07,15.96,2.33
10.59,41.54,1019.94,72.52,478.74,0.25,0.01,0.15,0.02,14.06,2.13
15.69,44.60,1014.06,61.51,462.07,0.35,0.02,0.26,0.03,16.49,2.19
13.56,41.48,1008.53,87.20,459.76,0.33,0.01,0.16,0.03,11.57,2.19
6.94,39.61,1017.74,81.43,480.07,0.18,0.01,0.09,0.01,12.50,2.12
22.93,63.13,1011.60,77.09,448.02,0.36,0.02,0.30,0.05,13.12,2.26
28.55,74.33,1011.77,73.34,426.48,0.38,0.03,0.39,0.07,13.80,2.37
20.01,59.87,1019.00,84.12,448.39,0.33,0.02,0.24,0.04,12.11,2.27
15.78,41.16,1008.43,80.25,464.85,0.38,0.02,0.20,0.03,12.57,2.17
24.97,68.61,1011.00,55.04,453.26,0.36,0.02,0.45,0.06,18.37,2.23
25.52,67.17,1007.33,85.12,440.02,0.38,0.03,0.30,0.06,11.83,2.29
7.94,40.60,1015.30,92.14,486.33,0.20,0.01,0.09,0.02,11.02,2.09
6.29,43.65,1020.68,70.14,485.80,0.14,0.01,0.09,0.01,14.55,2.10
12.38,41.62,1012.37,84.15,461.07,0.30,0.01,0.15,0.03,12.03,2.20
27.55,65.59,1011.60,63.99,440.53,0.42,0.03,0.43,0.06,15.81,2.30
24.43,59.87,1019.08,60.57,441.61,0.41,0.02,0.40,0.06,16.82,2.31
10.69,36.71,1022.08,83.28,472.81,0.29,0.01,0.13,0.02,12.27,2.16
12.31,44.03,1007.78,94.42,468.13,0.28,0.01,0.13,0.03,10.67,2.15
22.32,69.48,1011.10,77.86,439.49,0.32,0.02,0.29,0.05,12.99,2.30
17.89,40.12,1011.99,76.52,451.79,0.45,0.02,0.23,0.04,13.23,2.24
13.04,40.69,1015.96,82.37,473.49,0.32,0.01,0.16,0.03,12.33,2.15
31.50,70.32,1011.44,64.09,435.13,0.45,0.03,0.49,0.07,15.78,2.32
23.56,49.16,1003.31,66.98,445.36,0.48,0.02,0.35,0.05,14.98,2.25
11.94,40.66,1016.61,96.11,467.99,0.29,0.01,0.12,0.03,10.58,2.17
35.03,68.27,1006.55,43.82,426.22,0.51,0.03,0.80,0.08,22.97,2.36
6.91,39.37,1019.58,71.02,488.20,0.18,0.01,0.10,0.01,14.36,2.09
18.91,45.01,1012.90,59.81,456.12,0.42,0.02,0.32,0.04,16.94,2.22
18.24,59.15,1012.00,84.40,449.48,0.31,0.02,0.22,0.04,11.99,2.25
15.86,43.67,1011.11,82.24,465.46,0.36,0.02,0.19,0.03,12.29,2.17
13.77,42.86,1030.72,77.30,471.38,0.32,0.01,0.18,0.03,13.33,2.19
18.00,43.70,1015.40,61.28,464.26,0.41,0.02,0.29,0.04,16.57,2.19
28.41,61.47,1008.94,56.56,442.54,0.46,0.03,0.50,0.06,17.84,2.28
6.79,40.00,1019.01,81.83,480.83,0.17,0.01,0.08,0.01,12.45,2.12
26.82,65.27,1013.60,53.85,437.84,0.41,0.03,0.50,0.06,18.82,2.32
19.68,44.34,1019.49,49.50,468.27,0.44,0.02,0.40,0.04,20.60,2.18
27.82,52.84,1006.23,52.18,440.31,0.53,0.03,0.53,0.06,19.28,2.29
6.01,35.79,1011.05,91.33,482.25,0.17,0.01,0.07,0.01,11.07,2.10
5.89,40.07,1018.99,63.13,493.90,0.15,0.01,0.09,0.01,16.14,2.06
17.31,58.49,1011.80,92.77,456.84,0.30,0.02,0.19,0.04,10.91,2.21
21.25,67.71,1006.90,55.76,444.98,0.31,0.02,0.38,0.05,18.06,2.26
13.03,39.35,1015.34,79.18,474.02,0.33,0.01,0.16,0.03,12.82,2.14
9.27,42.02,1004.29,95.05,474.93,0.22,0.01,0.10,0.02,10.57,2.11
27.20,77.95,1009.48,78.53,433.39,0.35,0.03,0.35,0.06,12.85,2.33
9.43,41.40,1028.42,84.92,479.28,0.23,0.01,0.11,0.02,12.11,2.15
15.69,39.30,1019.03,60.57,464.17,0.40,0.02,0.26,0.03,16.82,2.20
22.80,49.16,1006.40,77.05,439.65,0.46,0.02,0.30,0.05,13.06,2.29
9.64,39.85,1012.90,83.82,478.37,0.24,0.01,0.12,0.02,12.08,2.12
30.08,67.25,1017.60,53.09,434.01,0.45,0.03,0.57,0.07,19.17,2.34
16.09,44.20,1019.39,67.24,460.56,0.36,0.02,0.24,0.03,15.16,2.21
8.93,40.46,1019.03,71.00,472.77,0.22,0.01,0.13,0.02,14.35,2.16
25.41,77.54,1009.68,89.09,434.09,0.33,0.03,0.29,0.06,11.33,2.33
22.78,58.96,1013.65,57.06,452.03,0.39,0.02,0.40,0.05,17.76,2.24
12.70,39.72,1017.89,62.97,467.77,0.32,0.01,0.20,0.03,16.16,2.18
29.59,71.77,1006.33,62.35,426.62,0.41,0.03,0.47,0.07,16.14,2.36
19.41,49.39,1020.84,81.89,449.24,0.39,0.02,0.24,0.04,12.47,2.27
16.58,46.18,1010.40,96.29,463.51,0.36,0.02,0.17,0.04,10.49,2.18
12.07,40.81,1025.63,68.02,475.96,0.30,0.01,0.18,0.03,15.08,2.15
15.82,44.20,1018.96,66.73,460.20,0.36,0.02,0.24,0.03,15.27,2.21
8.71,41.82,1033.08,74.53,477.94,0.21,0.01,0.12,0.02,13.86,2.16
17.99,43.79,1016.13,75.63,462.40,0.41,0.02,0.24,0.04,13.44,2.20
21.33,50.32,1008.58,85.30,442.44,0.42,0.02,0.25,0.05,11.82,2.28
30.52,71.77,1006.22,56.40,426.14,0.43,0.03,0.54,0.07,17.84,2.36
33.30,80.18,1011.09,63.98,430.16,0.42,0.03,0.52,0.08,15.80,2.35
6.02,41.38,1021.20,88.71,490.57,0.15,0.01,0.07,0.01,11.51,2.08
20.88,56.85,1010.91,84.28,440.08,0.37,0.02,0.25,0.05,11.99,2.30
14.35,39.39,1012.92,82.41,470.53,0.36,0.01,0.17,0.03,12.29,2.15
12.71,43.80,1023.15,71.16,466.20,0.29,0.01,0.18,0.03,14.38,2.19
20.40,57.85,1011.14,92.47,450.07,0.35,0.02,0.22,0.05,10.93,2.25
13.73,50.59,1020.44,85.54,459.60,0.27,0.01,0.16,0.03,11.93,2.22
9.75,36.66,1026.21,70.12,479.45,0.27,0.01,0.14,0.02,14.64,2.14
11.83,43.14,1010.06,88.14,471.98,0.27,0.01,0.13,0.03,11.46,2.14
21.87,61.45,1011.13,92.22,445.21,0.36,0.02,0.24,0.05,10.96,2.27
5.67,45.87,1008.91,93.29,478.44,0.12,0.01,0.06,0.01,10.81,2.11
6.25,40.02,1032.14,80.22,481.38,0.16,0.01,0.08,0.01,12.87,2.14
14.85,45.87,1009.37,84.65,462.67,0.32,0.01,0.18,0.03,11.92,2.18
29.53,72.39,998.47,76.05,431.69,0.41,0.03,0.39,0.07,13.13,2.31
18.93,48.60,1005.72,84.92,449.74,0.39,0.02,0.22,0.04,11.84,2.24
26.35,69.48,1008.45,70.47,435.23,0.38,0.03,0.37,0.06,14.31,2.32
31.92,69.13,1000.77,58.91,425.19,0.46,0.03,0.54,0.08,16.99,2.35
12.80,41.16,1022.43,86.19,462.72,0.31,0.01,0.15,0.03,11.86,2.21
9.14,42.44,1014.48,92.03,481.46,0.22,0.01,0.10,0.02,11.02,2.11
33.12,68.31,1010.30,42.29,441.13,0.48,0.03,0.78,0.08,23.89,2.29
20.14,65.06,1014.81,80.01,444.84,0.31,0.02,0.25,0.05,12.68,2.28
12.80,42.18,1016.27,83.90,467.69,0.30,0.01,0.15,0.03,12.11,2.17
27.74,74.78,1010.05,60.82,436.87,0.37,0.03,0.46,0.06,16.61,2.31
24.81,66.44,1011.19,69.96,435.79,0.37,0.02,0.35,0.06,14.45,2.32
13.27,42.28,1008.30,86.20,468.86,0.31,0.01,0.15,0.03,11.70,2.15
6.13,40.64,1020.69,94.57,481.13,0.15,0.01,0.06,0.01,10.79,2.12
17.74,49.78,1004.90,100.09,450.44,0.36,0.02,0.18,0.04,10.04,2.23
12.24,34.03,1018.44,69.27,474.18,0.36,0.01,0.18,0.03,14.70,2.15
27.53,70.32,1007.75,49.31,433.72,0.39,0.03,0.56,0.06,20.44,2.32
17.32,43.70,1015.13,61.66,464.50,0.40,0.02,0.28,0.04,16.46,2.19
10.71,41.93,1018.23,90.88,478.76,0.26,0.01,0.12,0.02,11.20,2.13
6.92,41.26,1011.16,96.20,483.61,0.17,0.01,0.07,0.01,10.51,2.09
19.32,44.71,1015.30,28.81,464.38,0.43,0.02,0.67,0.04,35.24,2.19
25.00,59.43,1007.84,68.91,438.28,0.42,0.02,0.36,0.06,14.63,2.30
12.34,43.22,1009.28,78.23,468.52,0.29,0.01,0.16,0.03,12.90,2.15
30.22,74.90,1003.57,67.15,434.17,0.40,0.03,0.45,0.07,14.95,2.31
28.68,70.72,1009.43,71.33,435.45,0.41,0.03,0.40,0.07,14.15,2.32
16.72,44.34,1019.26,63.77,465.89,0.38,0.02,0.26,0.04,15.98,2.19
23.09,69.71,1009.75,91.35,437.70,0.33,0.02,0.25,0.05,11.05,2.31
16.80,44.90,1009.14,79.78,456.42,0.37,0.02,0.21,0.04,12.65,2.21
8.57,40.69,1020.87,84.15,485.18,0.21,0.01,0.10,0.02,12.13,2.10
19.69,56.65,1020.86,70.02,454.87,0.35,0.02,0.28,0.04,14.58,2.24
22.34,63.73,1014.37,83.19,444.39,0.35,0.02,0.27,0.05,12.19,2.28
22.18,62.39,1007.84,85.74,452.31,0.36,0.02,0.26,0.05,11.75,2.23
26.55,60.23,1009.88,79.54,438.95,0.44,0.03,0.33,0.06,12.70,2.30
12.28,40.55,1005.72,98.56,472.47,0.30,0.01,0.12,0.03,10.20,2.13
10.55,41.92,1030.00,91.23,470.95,0.25,0.01,0.12,0.02,11.29,2.19
28.42,75.23,1010.25,56.80,435.64,0.38,0.03,0.50,0.07,17.79,2.32
20.98,47.43,1007.39,68.15,450.00,0.44,0.02,0.31,0.05,14.78,2.24
26.65,73.18,1012.27,83.12,437.70,0.36,0.03,0.32,0.06,12.18,2.31
13.90,44.00,1025.10,87.17,466.24,0.32,0.01,0.16,0.03,11.76,2.20
11.12,41.54,1020.13,75.07,477.69,0.27,0.01,0.15,0.02,13.59,2.14
13.48,41.92,1030.20,65.96,463.90,0.32,0.01,0.20,0.03,15.62,2.22
21.69,47.45,1007.56,77.20,447.06,0.46,0.02,0.28,0.05,13.05,2.25
20.73,69.94,1009.90,82.12,445.91,0.30,0.02,0.25,0.05,12.30,2.26
16.84,56.03,1020.25,70.37,437.14,0.30,0.02,0.24,0.04,14.50,2.33
15.75,39.00,1015.91,69.58,460.73,0.40,0.02,0.23,0.03,14.60,2.21
25.60,66.48,1006.16,69.34,435.12,0.39,0.03,0.37,0.06,14.51,2.31
17.05,44.88,1017.69,88.19,459.63,0.38,0.02,0.19,0.04,11.54,2.21
28.55,66.51,1015.46,34.04,432.59,0.43,0.03,0.84,0.07,29.83,2.35
27.38,77.24,1008.25,82.49,435.81,0.35,0.03,0.33,0.06,12.22,2.31
6.26,41.31,1002.04,87.54,485.57,0.15,0.01,0.07,0.01,11.45,2.06
15.04,38.01,1022.46,78.29,468.12,0.40,0.01,0.19,0.03,13.06,2.18
25.56,75.60,1017.37,69.31,442.20,0.34,0.03,0.37,0.06,14.68,2.30
27.43,56.85,1011.86,36.76,436.64,0.48,0.03,0.75,0.06,27.53,2.32
21.14,58.98,1009.05,94.36,448.31,0.36,0.02,0.22,0.05,10.69,2.25
5.02,45.87,1007.80,99.22,481.03,0.11,0.00,0.05,0.01,10.16,2.10
27.47,63.78,1016.07,48.47,446.69,0.43,0.03,0.57,0.06,20.96,2.27
22.43,55.97,1008.97,85.98,443.74,0.40,0.02,0.26,0.05,11.73,2.27
29.57,67.83,1009.19,55.74,427.62,0.44,0.03,0.53,0.07,18.11,2.36
20.32,39.72,1002.00,51.71,458.80,0.51,0.02,0.39,0.04,19.38,2.18
12.27,43.80,1023.21,57.00,468.55,0.28,0.01,0.22,0.03,17.95,2.18
26.55,73.67,1005.74,79.41,433.44,0.36,0.03,0.33,0.06,12.67,2.32
10.56,39.13,1010.19,87.12,463.14,0.27,0.01,0.12,0.02,11.60,2.18
13.58,39.28,1016.17,79.17,472.17,0.35,0.01,0.17,0.03,12.84,2.15
23.71,68.63,1014.54,46.04,449.41,0.35,0.02,0.51,0.05,22.04,2.26
14.49,42.86,1013.94,88.20,468.40,0.34,0.01,0.16,0.03,11.50,2.16
9.58,38.08,1019.49,67.54,478.50,0.25,0.01,0.14,0.02,15.09,2.13
27.77,63.87,1017.97,38.77,444.06,0.43,0.03,0.72,0.06,26.26,2.29
23.95,73.67,1007.32,87.67,437.43,0.33,0.02,0.27,0.05,11.49,2.30
9.91,39.64,1010.57,75.82,478.63,0.25,0.01,0.13,0.02,13.33,2.11
6.50,41.14,1028.15,86.78,480.96,0.16,0.01,0.07,0.01,11.85,2.14
5.94,39.90,1007.84,86.33,485.86,0.15,0.01,0.07,0.01,11.67,2.07
6.80,37.80,1021.09,70.02,485.96,0.18,0.01,0.10,0.01,14.58,2.10
5.18,41.31,1000.59,92.14,485.20,0.13,0.01,0.06,0.01,10.86,2.06
21.67,57.76,1018.32,68.21,452.56,0.38,0.02,0.32,0.05,14.93,2.25
19.23,41.67,1012.53,48.86,465.66,0.46,0.02,0.39,0.04,20.72,2.17
25.92,60.95,1014.62,48.46,442.84,0.43,0.03,0.53,0.06,20.94,2.29
11.87,36.43,1023.42,79.50,474.17,0.33,0.01,0.15,0.03,12.87,2.16
32.77,72.86,1003.60,52.87,433.84,0.45,0.03,0.62,0.08,18.98,2.31
23.29,65.61,1014.81,70.27,447.67,0.35,0.02,0.33,0.05,14.44,2.27
8.62,42.49,1009.06,86.93,481.87,0.20,0.01,0.10,0.02,11.61,2.09
27.99,71.64,1007.79,72.67,437.81,0.39,0.03,0.39,0.06,13.87,2.30
23.48,51.43,1007.13,84.83,441.78,0.46,0.02,0.28,0.05,11.87,2.28
18.26,59.15,1012.04,86.01,451.09,0.31,0.02,0.21,0.04,11.77,2.24
28.64,66.54,1010.43,43.39,437.97,0.43,0.03,0.66,0.07,23.29,2.31
21.62,48.78,1020.06,85.09,448.52,0.44,0.02,0.25,0.05,11.99,2.27
23.10,51.30,1011.93,80.05,452.17,0.45,0.02,0.29,0.05,12.64,2.24
21.86,60.27,1016.06,90.48,446.31,0.36,0.02,0.24,0.05,11.23,2.28
13.41,45.00,1022.31,76.29,475.90,0.30,0.01,0.18,0.03,13.40,2.15
12.77,36.71,1013.29,86.40,475.59,0.35,0.01,0.15,0.03,11.73,2.13
10.15,41.46,1019.78,83.56,481.31,0.24,0.01,0.12,0.02,12.20,2.12
27.17,63.09,1015.59,68.33,443.66,0.43,0.03,0.40,0.06,14.86,2.29
27.36,66.54,1011.31,45.30,436.69,0.41,0.03,0.60,0.06,22.32,2.32
6.01,35.79,1011.26,90.72,482.79,0.17,0.01,0.07,0.01,11.15,2.09
6.43,39.61,1017.51,83.80,480.58,0.16,0.01,0.08,0.01,12.14,2.12
21.54,58.49,1010.85,78.90,449.12,0.37,0.02,0.27,0.05,12.81,2.25
21.43,63.47,1011.95,94.47,448.17,0.34,0.02,0.23,0.05,10.71,2.26
22.07,60.08,1017.68,71.23,452.56,0.37,0.02,0.31,0.05,14.29,2.25
30.38,74.16,1007.44,74.77,432.84,0.41,0.03,0.41,0.07,13.47,2.33
27.06,72.58,1009.24,90.31,429.18,0.37,0.03,0.30,0.06,11.18,2.35
23.09,70.02,1010.58,77.85,443.27,0.33,0.02,0.30,0.05,12.98,2.28
16.37,39.64,1009.19,76.92,463.91,0.41,0.02,0.21,0.04,13.12,2.18
22.00,59.54,1004.55,95.25,439.37,0.37,0.02,0.23,0.05,10.55,2.29
17.84,61.27,1020.10,70.68,454.57,0.29,0.02,0.25,0.04,14.43,2.24
13.89,43.70,1015.12,64.99,470.88,0.32,0.01,0.21,0.03,15.62,2.16
25.09,57.43,1013.20,70.42,446.11,0.44,0.02,0.36,0.06,14.39,2.27
25.71,58.59,1012.77,61.83,451.28,0.44,0.03,0.42,0.06,16.38,2.24
20.04,58.20,1017.56,74.31,448.92,0.34,0.02,0.27,0.04,13.69,2.27
15.34,40.73,1018.03,86.19,458.55,0.38,0.02,0.18,0.03,11.81,2.22
8.83,36.25,1028.86,85.60,478.45,0.24,0.01,0.10,0.02,12.02,2.15
13.96,39.54,1011.05,85.72,468.82,0.35,0.01,0.16,0.03,11.79,2.16
17.09,42.42,1009.03,72.01,464.11,0.40,0.02,0.24,0.04,14.01,2.17
15.75,39.39,1014.38,76.29,468.60,0.40,0.02,0.21,0.03,13.30,2.16
19.04,50.12,1010.53,100.09,446.59,0.38,0.02,0.19,0.04,10.10,2.26
13.51,40.89,1011.03,84.83,471.99,0.33,0.01,0.16,0.03,11.92,2.14
29.89,64.69,1006.37,58.78,435.39,0.46,0.03,0.51,0.07,17.12,2.31
18.31,46.21,1010.46,82.15,451.75,0.40,0.02,0.22,0.04,12.30,2.24
21.45,45.09,1013.83,52.26,453.15,0.48,0.02,0.41,0.05,19.40,2.24
24.67,61.50,1009.06,72.77,437.37,0.40,0.02,0.34,0.06,13.87,2.31
15.60,44.68,1018.35,85.91,463.82,0.35,0.02,0.18,0.03,11.85,2.20
28.97,64.44,1014.55,54.67,438.08,0.45,0.03,0.53,0.07,18.56,2.32
27.29,71.32,1006.39,81.59,435.25,0.38,0.03,0.33,0.06,12.33,2.31
23.25,63.86,1017.82,59.64,445.12,0.36,0.02,0.39,0.05,17.07,2.29
18.88,43.69,1016.77,46.88,464.63,0.43,0.02,0.40,0.04,21.69,2.19
28.37,71.64,1007.39,71.06,434.91,0.40,0.03,0.40,0.07,14.18,2.32
22.98,69.84,1005.55,84.10,437.49,0.33,0.02,0.27,0.05,11.96,2.30
14.01,42.99,1007.12,69.69,469.23,0.33,0.01,0.20,0.03,14.45,2.15
7.85,37.80,1020.90,59.19,478.68,0.21,0.01,0.13,0.02,17.25,2.13
21.37,65.94,1010.73,75.09,444.74,0.32,0.02,0.28,0.05,13.46,2.27
27.03,71.14,1010.33,66.25,430.41,0.38,0.03,0.41,0.06,15.25,2.35
17.79,40.12,1012.74,79.03,459.13,0.44,0.02,0.23,0.04,12.81,2.21
19.68,62.96,1020.41,82.26,453.58,0.31,0.02,0.24,0.04,12.40,2.25
10.39,40.96,1023.51,84.73,479.00,0.25,0.01,0.12,0.02,12.08,2.14
14.16,44.58,1020.75,77.42,473.22,0.32,0.01,0.18,0.03,13.18,2.16
12.85,40.35,1011.29,81.27,472.69,0.32,0.01,0.16,0.03,12.44,2.14
16.07,65.46,1013.88,87.11,450.54,0.25,0.02,0.18,0.04,11.64,2.25
28.04,70.32,1011.28,78.16,435.42,0.40,0.03,0.36,0.06,12.94,2.32
23.96,46.93,1013.98,47.22,450.86,0.51,0.02,0.51,0.05,21.47,2.25
29.24,64.33,1011.49,65.08,440.12,0.45,0.03,0.45,0.07,15.54,2.30
7.09,39.37,1020.07,73.26,487.00,0.18,0.01,0.10,0.01,13.92,2.09
